Book Name,Author,Rating,Customers_Rated,Price
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"10,198",₹ 300.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"16,934",₹ 419.00
The Psychology of Money,Morgan Housel,4.5 out of 5 stars,"6,171",₹ 350.00
Mathematics for Class 10 by R D Sharma (Examination 2021-22),R.D. Sharma,4.5 out of 5 stars,805,₹ 499.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"8,715",₹ 408.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"46,363",₹ 172.00
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.5 out of 5 stars,"3,566",₹ 89.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"3,567",₹ 299.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"3,640",₹ 191.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,687,₹ 319.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"5,879",₹ 600.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.6 out of 5 stars,"1,915",₹ 135.00
Spoken English Course (Telugu),Vashista 360,4.5 out of 5 stars,472,₹ 399.00
Unfinished: A Memoir,Priyanka Chopra Jonas,4.3 out of 5 stars,"1,036",₹ 452.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"17,036",₹ 89.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"5,867",₹ 176.00
Educart All Subjects Final Revision Book Of CBSE Class 10 Strictly For May 2021 Exam (Objective Maps + Case based Q…,Educart,4.4 out of 5 stars,51,₹ 155.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"10,148",₹ 279.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"8,679",₹ 149.00
One Arranged Murder,Chetan Bhagat,4.2 out of 5 stars,"6,013",₹ 123.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"26,249",₹ 109.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"36,282",₹ 415.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,400,₹ 135.00
Mathematics for Class 9 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,558,₹ 380.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.4 out of 5 stars,"1,647",₹ 199.00
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,Spectrum Books Pvt.Ltd.,4.5 out of 5 stars,"4,121",₹ 360.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"3,532",₹ 209.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"3,750",₹ 545.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"6,645",₹ 160.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"15,294",₹ 580.00
Oswaal CBSE Sample Question Paper Class 10 Science Book (Reduced Syllabus for 2021 Exam),Oswaal Editorial Board,4.5 out of 5 stars,290,₹ 192.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.7 out of 5 stars,694,₹ 565.00
PERFECTION BOOK - ENGLISH WITH NIMISHA BANSAL,NIMISHA BANSAL,-1,0,₹ 350.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"3,036",₹ 142.00
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.6 out of 5 stars,273,₹ 499.00
CBSE All In One Science Class 10 for 2021 Exam,Sanubia & Rashmi Gupta Sonal Singh,4.5 out of 5 stars,573,₹ 375.00
Oswaal CBSE Sample Question Paper Class 10 Mathematics Standard Book (Reduced Syllabus for 2021 Exam),Oswaal Editorial Board,4.5 out of 5 stars,277,₹ 177.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,"19,932",₹ 443.00
"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and…",Wonder House Books,4.4 out of 5 stars,"1,405",₹ 149.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"24,051",₹ 237.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.3 out of 5 stars,"4,324",₹ 242.00
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"3,495",₹ 95.00
CBSE All In One Social Science Class 10 for 2021 Exam,Farah Sultan Madhumita Pattrea,4.4 out of 5 stars,597,₹ 305.00
The Richest Man in Babylon,George S. Clason,4.4 out of 5 stars,"15,508",₹ 99.00
Oswaal CBSE Question Bank Class 10 Science (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.5 out of 5 stars,325,₹ 320.00
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by…",Sudha Murty,4.7 out of 5 stars,"1,783",₹ 145.00
Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo,4.5 out of 5 stars,"2,715",₹ 345.00
NTA UGC NET/ SET/ JRF : Paper 1 Teaching and Research Aptitude | Fifth Edition | By Pearson,K V S Madaan,4.3 out of 5 stars,15,₹ 362.00
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"1,733",₹ 490.00
Manorama English Yearbook 2021,Mammen Mathew,4.6 out of 5 stars,407,₹ 275.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"27,449",₹ 180.00
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,4.3 out of 5 stars,"3,934",₹ 199.00
The Monk Who Sold His Ferrari,Robin Sharma,4.6 out of 5 stars,"11,159",₹ 150.00
